method,game,seed,bin,return,agent_steps
DreamerV3,asterix,1,5.0,315.625,
DreamerV3,asterix,1,6.0,300.0,
DreamerV3,asterix,1,7.0,383.3333333333333,
DreamerV3,asterix,1,8.0,369.2307692307692,
DreamerV3,asterix,1,9.0,469.2307692307692,
DreamerV3,asterix,1,10.0,347.22222222222223,
DreamerV3,asterix,1,11.0,491.6666666666667,
DreamerV3,asterix,1,12.0,381.25,
DreamerV3,asterix,1,13.0,435.7142857142857,
DreamerV3,asterix,1,14.0,579.1666666666666,
DreamerV3,asterix,1,15.0,425.0,
DreamerV3,asterix,1,16.0,425.0,
DreamerV3,asterix,1,17.0,554.5454545454545,
DreamerV3,asterix,1,18.0,554.5454545454545,
DreamerV3,asterix,1,19.0,761.1111111111111,
DreamerV3,asterix,2,0.0,252.5,
DreamerV3,asterix,2,1.0,281.25,
DreamerV3,asterix,2,2.0,233.33333333333334,
DreamerV3,asterix,2,3.0,381.25,
DreamerV3,asterix,2,4.0,233.33333333333334,
DreamerV3,asterix,2,5.0,303.57142857142856,
DreamerV3,asterix,2,6.0,284.2105263157895,
DreamerV3,asterix,2,7.0,261.7647058823529,
DreamerV3,asterix,2,8.0,269.44444444444446,
DreamerV3,asterix,2,9.0,312.5,
DreamerV3,asterix,2,10.0,260.0,
DreamerV3,asterix,2,11.0,352.94117647058823,
DreamerV3,asterix,2,12.0,323.3333333333333,
DreamerV3,asterix,2,13.0,385.7142857142857,
DreamerV3,asterix,2,14.0,319.44444444444446,
DreamerV3,asterix,2,15.0,362.5,
DreamerV3,asterix,2,16.0,314.70588235294116,
DreamerV3,asterix,2,17.0,457.6923076923077,
DreamerV3,asterix,2,18.0,355.88235294117646,
DreamerV3,asterix,2,19.0,328.94736842105266,
DreamerV3,asterix,3,0.0,255.55555555555554,
DreamerV3,asterix,3,1.0,206.25,
DreamerV3,asterix,3,2.0,490.0,
DreamerV3,asterix,3,3.0,530.0,
DreamerV3,asterix,3,4.0,387.5,
DreamerV3,asterix,3,5.0,315.38461538461536,
DreamerV3,asterix,3,6.0,400.0,
DreamerV3,asterix,3,7.0,325.0,
DreamerV3,asterix,3,8.0,342.85714285714283,
DreamerV3,asterix,3,9.0,284.375,
DreamerV3,asterix,3,10.0,206.25,
DreamerV3,asterix,3,11.0,242.85714285714286,
DreamerV3,asterix,3,12.0,450.0,
DreamerV3,asterix,3,13.0,531.25,
DreamerV3,asterix,3,14.0,446.15384615384613,
DreamerV3,asterix,3,15.0,462.5,
DreamerV3,asterix,3,16.0,438.46153846153845,
DreamerV3,asterix,3,17.0,528.5714285714286,
DreamerV3,asterix,3,18.0,523.0769230769231,
DreamerV3,asterix,3,19.0,705.5555555555555,
DreamerV3,asterix,4,0.0,263.1578947368421,
DreamerV3,asterix,4,1.0,297.36842105263156,
DreamerV3,asterix,4,2.0,203.57142857142858,
DreamerV3,asterix,4,3.0,381.25,
DreamerV3,asterix,4,4.0,291.6666666666667,
DreamerV3,asterix,4,5.0,234.21052631578948,
DreamerV3,asterix,4,6.0,311.7647058823529,
DreamerV3,asterix,4,7.0,275.0,
DreamerV3,asterix,4,8.0,355.88235294117646,
DreamerV3,asterix,4,9.0,406.6666666666667,
DreamerV3,asterix,4,10.0,525.0,
DreamerV3,asterix,4,11.0,376.47058823529414,
DreamerV3,asterix,4,12.0,406.6666666666667,
DreamerV3,asterix,4,13.0,592.3076923076923,
DreamerV3,asterix,4,14.0,523.3333333333334,
DreamerV3,asterix,4,15.0,600.0,
DreamerV3,asterix,4,16.0,592.3076923076923,
DreamerV3,asterix,4,17.0,607.1428571428571,
DreamerV3,asterix,4,18.0,490.625,
DreamerV3,asterix,4,19.0,654.1666666666666,
DreamerV3,bank_heist,0,0.0,14.444444444444445,
DreamerV3,bank_heist,0,1.0,23.333333333333332,
DreamerV3,bank_heist,0,2.0,12.857142857142858,
DreamerV3,bank_heist,0,3.0,5.0,
DreamerV3,bank_heist,0,4.0,15.0,
DreamerV3,bank_heist,0,5.0,14.285714285714286,
DreamerV3,bank_heist,0,6.0,21.25,
DreamerV3,bank_heist,0,7.0,15.0,
DreamerV3,bank_heist,0,8.0,16.666666666666668,
DreamerV3,bank_heist,0,9.0,18.571428571428573,
DreamerV3,bank_heist,0,10.0,20.0,
DreamerV3,bank_heist,0,11.0,20.0,
DreamerV3,bank_heist,0,12.0,26.25,
DreamerV3,bank_heist,0,13.0,22.22222222222222,
DreamerV3,bank_heist,0,14.0,30.0,
DreamerV3,bank_heist,0,15.0,30.0,
DreamerV3,bank_heist,0,16.0,43.75,
DreamerV3,bank_heist,0,17.0,34.0,
DreamerV3,bank_heist,0,18.0,27.77777777777778,
DreamerV3,bank_heist,0,19.0,27.77777777777778,
DreamerV3,bank_heist,1,0.0,17.77777777777778,
DreamerV3,bank_heist,1,1.0,13.333333333333334,
DreamerV3,bank_heist,1,2.0,13.75,
DreamerV3,bank_heist,1,3.0,11.428571428571429,
DreamerV3,bank_heist,1,4.0,16.666666666666668,
DreamerV3,bank_heist,1,5.0,23.333333333333332,
DreamerV3,bank_heist,1,6.0,13.75,
DreamerV3,bank_heist,1,7.0,20.0,
DreamerV3,bank_heist,1,8.0,33.75,
DreamerV3,bank_heist,1,9.0,40.0,
DreamerV3,bank_heist,1,10.0,37.5,
DreamerV3,bank_heist,1,11.0,37.5,
DreamerV3,bank_heist,1,12.0,58.57142857142857,
DreamerV3,bank_heist,1,13.0,81.42857142857143,
DreamerV3,bank_heist,1,14.0,52.857142857142854,
DreamerV3,bank_heist,1,15.0,48.75,
DreamerV3,bank_heist,1,16.0,50.0,
DreamerV3,bank_heist,1,17.0,57.142857142857146,
DreamerV3,bank_heist,1,18.0,66.25,
DreamerV3,bank_heist,1,19.0,60.0,
DreamerV3,bank_heist,2,0.0,17.77777777777778,
DreamerV3,bank_heist,2,1.0,15.555555555555555,
DreamerV3,bank_heist,2,2.0,16.666666666666668,
DreamerV3,bank_heist,2,3.0,14.285714285714286,
DreamerV3,bank_heist,2,4.0,22.5,
DreamerV3,bank_heist,2,5.0,11.25,
DreamerV3,bank_heist,2,6.0,11.11111111111111,
DreamerV3,bank_heist,2,7.0,10.0,
DreamerV3,bank_heist,2,8.0,14.444444444444445,
DreamerV3,bank_heist,2,9.0,13.333333333333334,
DreamerV3,bank_heist,2,10.0,20.0,
DreamerV3,bank_heist,2,11.0,22.5,
DreamerV3,bank_heist,2,12.0,32.857142857142854,
DreamerV3,bank_heist,2,13.0,44.285714285714285,
DreamerV3,bank_heist,2,14.0,41.25,
DreamerV3,bank_heist,2,15.0,47.142857142857146,
DreamerV3,bank_heist,2,16.0,30.0,
DreamerV3,bank_heist,2,17.0,30.0,
DreamerV3,bank_heist,2,18.0,37.5,
DreamerV3,bank_heist,2,19.0,35.55555555555556,
DreamerV3,bank_heist,3,0.0,14.444444444444445,
DreamerV3,bank_heist,3,1.0,13.0,
DreamerV3,bank_heist,3,2.0,11.25,
DreamerV3,bank_heist,3,3.0,13.333333333333334,
DreamerV3,bank_heist,3,4.0,11.11111111111111,
DreamerV3,bank_heist,3,5.0,16.666666666666668,
DreamerV3,bank_heist,3,6.0,14.0,
DreamerV3,bank_heist,3,7.0,18.75,
DreamerV3,bank_heist,3,8.0,35.0,
DreamerV3,bank_heist,3,9.0,25.555555555555557,
DreamerV3,bank_heist,3,10.0,28.75,
DreamerV3,bank_heist,3,11.0,28.571428571428573,
DreamerV3,bank_heist,3,12.0,40.0,
DreamerV3,bank_heist,3,13.0,42.5,
DreamerV3,bank_heist,3,14.0,33.75,
DreamerV3,bank_heist,3,15.0,35.0,
DreamerV3,bank_heist,3,16.0,40.0,
DreamerV3,bank_heist,3,17.0,42.5,
DreamerV3,bank_heist,3,18.0,41.25,
DreamerV3,bank_heist,3,19.0,43.333333333333336,
DreamerV3,bank_heist,4,0.0,15.555555555555555,
DreamerV3,bank_heist,4,1.0,16.0,
DreamerV3,bank_heist,4,2.0,12.857142857142858,
DreamerV3,bank_heist,4,3.0,15.714285714285714,
DreamerV3,bank_heist,4,4.0,22.857142857142858,
DreamerV3,bank_heist,4,5.0,12.857142857142858,
DreamerV3,bank_heist,4,6.0,24.444444444444443,
DreamerV3,bank_heist,4,7.0,46.25,
DreamerV3,bank_heist,4,8.0,52.22222222222222,
DreamerV3,bank_heist,4,9.0,35.0,
DreamerV3,bank_heist,4,10.0,51.666666666666664,
DreamerV3,bank_heist,4,11.0,53.75,
DreamerV3,bank_heist,4,12.0,33.75,
DreamerV3,bank_heist,4,13.0,42.5,
DreamerV3,bank_heist,4,14.0,74.28571428571429,
DreamerV3,bank_heist,4,15.0,58.57142857142857,
DreamerV3,bank_heist,4,16.0,53.333333333333336,
DreamerV3,bank_heist,4,17.0,38.333333333333336,
DreamerV3,bank_heist,4,18.0,65.0,
DreamerV3,bank_heist,4,19.0,35.55555555555556,
DreamerV3,battle_zone,0,0.0,1000.0,
DreamerV3,battle_zone,0,1.0,800.0,
DreamerV3,battle_zone,0,2.0,1750.0,
DreamerV3,battle_zone,0,3.0,5666.666666666667,
DreamerV3,battle_zone,0,4.0,1500.0,
DreamerV3,battle_zone,0,5.0,3250.0,
DreamerV3,battle_zone,0,6.0,1333.3333333333333,
DreamerV3,battle_zone,0,7.0,2000.0,
DreamerV3,battle_zone,0,8.0,1666.6666666666667,
DreamerV3,battle_zone,0,9.0,2500.0,
DreamerV3,battle_zone,0,10.0,3000.0,
DreamerV3,battle_zone,0,11.0,3333.3333333333335,
DreamerV3,battle_zone,0,12.0,8000.0,
DreamerV3,battle_zone,0,13.0,3600.0,
DreamerV3,battle_zone,0,14.0,4500.0,
DreamerV3,battle_zone,0,15.0,2000.0,
DreamerV3,battle_zone,0,16.0,2000.0,
DreamerV3,battle_zone,0,17.0,7000.0,
DreamerV3,battle_zone,0,18.0,4000.0,
DreamerV3,battle_zone,0,19.0,12000.0,
DreamerV3,battle_zone,1,0.0,2666.6666666666665,
DreamerV3,battle_zone,1,1.0,1600.0,
DreamerV3,battle_zone,1,2.0,1800.0,
DreamerV3,battle_zone,1,3.0,1750.0,
DreamerV3,battle_zone,1,4.0,6000.0,
DreamerV3,battle_zone,1,5.0,2333.3333333333335,
DreamerV3,battle_zone,1,6.0,5250.0,
DreamerV3,battle_zone,1,7.0,3000.0,
DreamerV3,battle_zone,1,8.0,2500.0,
DreamerV3,battle_zone,1,9.0,3500.0,
DreamerV3,battle_zone,1,10.0,6000.0,
DreamerV3,battle_zone,1,11.0,2500.0,
DreamerV3,battle_zone,1,12.0,3000.0,
DreamerV3,battle_zone,1,13.0,8666.666666666666,
DreamerV3,battle_zone,1,14.0,3750.0,
DreamerV3,battle_zone,1,15.0,8500.0,
DreamerV3,battle_zone,1,16.0,8000.0,
DreamerV3,battle_zone,1,17.0,8333.333333333334,
DreamerV3,battle_zone,1,18.0,10500.0,
DreamerV3,battle_zone,1,19.0,12000.0,
DreamerV3,battle_zone,2,0.0,2000.0,
DreamerV3,battle_zone,2,1.0,2333.3333333333335,
DreamerV3,battle_zone,2,2.0,9000.0,
DreamerV3,battle_zone,2,3.0,3600.0,
DreamerV3,battle_zone,2,4.0,2333.3333333333335,
DreamerV3,battle_zone,2,5.0,2000.0,
DreamerV3,battle_zone,2,6.0,4000.0,
DreamerV3,battle_zone,2,7.0,3666.6666666666665,
DreamerV3,battle_zone,2,8.0,2500.0,
DreamerV3,battle_zone,2,9.0,3333.3333333333335,
DreamerV3,battle_zone,2,10.0,2333.3333333333335,
DreamerV3,battle_zone,2,11.0,6500.0,
DreamerV3,battle_zone,2,12.0,3333.3333333333335,
DreamerV3,battle_zone,2,13.0,4000.0,
DreamerV3,battle_zone,2,14.0,6000.0,
DreamerV3,battle_zone,2,15.0,5250.0,
DreamerV3,battle_zone,2,16.0,7400.0,
DreamerV3,battle_zone,2,17.0,7250.0,
DreamerV3,battle_zone,2,18.0,10666.666666666666,
DreamerV3,battle_zone,2,19.0,10000.0,
DreamerV3,battle_zone,3,0.0,1000.0,
DreamerV3,battle_zone,3,1.0,2500.0,
DreamerV3,battle_zone,3,2.0,4000.0,
DreamerV3,battle_zone,3,3.0,1750.0,
DreamerV3,battle_zone,3,4.0,3333.3333333333335,
DreamerV3,battle_zone,3,5.0,3250.0,
DreamerV3,battle_zone,3,6.0,3250.0,
DreamerV3,battle_zone,3,7.0,4333.333333333333,
DreamerV3,battle_zone,3,8.0,4333.333333333333,
DreamerV3,battle_zone,3,9.0,2000.0,
DreamerV3,battle_zone,3,10.0,3200.0,
DreamerV3,battle_zone,3,11.0,4800.0,
DreamerV3,battle_zone,3,12.0,2333.3333333333335,
DreamerV3,battle_zone,3,13.0,2200.0,
DreamerV3,battle_zone,3,14.0,2333.3333333333335,
DreamerV3,battle_zone,3,15.0,5250.0,
DreamerV3,battle_zone,3,16.0,9333.333333333334,
DreamerV3,battle_zone,3,17.0,11500.0,
DreamerV3,battle_zone,3,18.0,10666.666666666666,
DreamerV3,battle_zone,3,19.0,9333.333333333334,
