game,checkpoint,episodes,mean,checkpoint_hash,training_seed,evaluation_seed
chopper_command,60000,10,1290.0,3edd495101d709ecc2517ed3399890891b22db081023fb11e063f84d08534a4a,0,0
chopper_command,70000,10,1130.0,5485b8cb064923d49c3e0ab8020a1c4fbcc4e8da2246da136b2c416900f5d263,0,0
chopper_command,80000,10,1230.0,65d54fb9251d790ecdfe5b22fc36162828db13fde1ac6204abf81e0b57eba17d,0,0
chopper_command,90000,10,1400.0,104b79deb7d2e8d6233cb5bca8045e2ef5b3dbb5d23427c8d33991f2d8b4a730,0,0
chopper_command,100000,100,1012.0,d089116d7ed12c7dc44eca0187620df221478147689c007b7898d1ebf687eafc,0,0
crazy_climber,10000,10,11000.0,f741ae190864b6cc66763594d107f49c4d13665c1a62fdcb490df822000c959e,0,0
crazy_climber,20000,10,16850.0,ce0c4f040ba06c9b164b3da81623208644750c6fbd46cafa2af2539a2d2de957,0,0
crazy_climber,30000,10,27830.0,396864fbec833ad972386ee0b8ca1551e9b65fa5e45046b9e18de79c1b53b440,0,0
crazy_climber,40000,10,36300.0,5b668bdd9754e318e5f9c59273d6d9f79da62a1cfd2890628ca804fa84d83ef9,0,0
crazy_climber,50000,10,53750.0,b2e8dcc59b3456d78bd68a20b27daea62a9241eaedeaa3319963bf93465bd21f,0,0
crazy_climber,60000,10,41990.0,0ac82c3425ae9e9a641e74994b523d944b1eb292dc7d1ec74624eb6f5292a506,0,0
crazy_climber,70000,10,54910.0,0c8effde88672a4c85ea0bfb8b697d66b6a71bccf19816c02fd20a5b04b9e259,0,0
crazy_climber,80000,10,53240.0,fe81c058f5ccda22ef04e4c62258e81a9e638837e3c4297d1eee0a1d9484cf78,0,0
crazy_climber,90000,10,75160.0,54fcc9cbe651f9b519d5b40a09d40d6c978f7d2de5af5de5a2e0654371b652f2,0,0
crazy_climber,100000,100,70558.0,cdf28e41fb924b8907e6906c425319586075054cdd5724a73f5f332945256ba2,0,0
demon_attack,10000,10,84.0,bc285ef1395d677689a8f8d2ba83b0630f8778f863a6b3bbd29aa4c304092d60,0,0
demon_attack,20000,10,185.5,de20c06367961d9cad2024ce2e1e8a3960e7ce22f049196696b728739fe34dc3,0,0
demon_attack,30000,10,260.0,e0832db64e748a35f4a9184e2aa5fe0e5d2767ce46bd635c46c5bfadbf756d76,0,0
demon_attack,40000,10,129.5,0597529da8b4f9dc1eb694c3cb18c5e24f5328cb9a6a010e5d32c42f799d5160,0,0
demon_attack,50000,10,275.5,c1b81451c19e5f5a6bc388a1694b2f2c981ea131a61a5a1df1ef736f573ff46e,0,0
demon_attack,60000,10,254.0,c997eeb19837f3830b8800cf1a73b79ca4a5ac157b36c5af57fb6ab29204ecd7,0,0
demon_attack,70000,10,327.0,7b00701d6c09ea5e3133fb419f8e6debe72e87d4099a50667d0ff32f21ab25c0,0,0
demon_attack,80000,10,397.0,b2c979eb253f5545a9113de19f022edb19d13f5c4caee2f8f60e21a9358017b9,0,0
demon_attack,90000,10,153.5,c9f806ea79ce2f1dab4849e4f7babcfb53160114413a0d00d0bd4dc2eca5fa3f,0,0
demon_attack,100000,100,182.55,5b0a8be2deb05652f4253b8d5d4a6f62d8eeedf1a9a008789c8329d49bcb6667,0,0
freeway,10000,10,0.0,295baba46f93c822900835e0ead7dea365289b91c666318c29ff2ef2a6b517b5,0,0
freeway,20000,10,0.0,ff8c41cdf2441154cbf33f5b9b4c039629b112407e2d3bba893d779cb30dc663,0,0
freeway,30000,10,0.0,94e1e4f95f421f6e1f3035787d6b73d186decc3f7c77080923860418f76f505c,0,0
freeway,40000,10,0.0,3be974a2ce3a7e1eb1bc1c625e06673a0cb158845922e48b388d6b26c6c52a46,0,0
freeway,50000,10,0.0,99e78b8934a1fe2242cd44b76e15c525f20a19a04c071720cd9edd147c1e8cc7,0,0
freeway,60000,10,0.0,2a172dd21a0ccd9d63278b05035fbd44ee7a6a8239e79a345aedeb4644078121,0,0
freeway,70000,10,0.0,d32e8315e1613c4d3da7a2a63ed69bb9f83dc3ba6e6dd8cf1640fb2a6561b479,0,0
freeway,80000,10,0.0,1160686b812228860fc1402dced8b2f80e75518fd1638b761d9ca78890a686a4,0,0
freeway,90000,10,0.0,914ef8553b948310cc693ba42e32601bc8faf06c0251f99ede30e4a69aa43753,0,0
freeway,100000,100,0.0,179c67532a84a7676d5538f96f5a2296f3ced4b77fd48c42ce649354b6828a77,0,0
frostbite,10000,10,177.0,ad806ea36813c9f02632dc35d063ccec6fa7763c5231c51d332853e82905804f,0,0
frostbite,20000,10,214.0,7bd941d0bfb9d0690e03dba0e398c420fc9e3c8176045b7ce23ca4e6eae1860f,0,0
frostbite,30000,10,241.0,325e19733244fb49ec11d38a255c715a2f7f9bd9b61714d778b0e15af193abd6,0,0
frostbite,40000,10,371.0,1d26f71715968a537528ac655a8355fe7df60c6368e75fd4ac9301048bd6093a,0,0
frostbite,50000,10,258.0,2613a5b86ec4a32b6d54e548e650dc2c27427eb6f3501198a34c6e6eaa7fa247,0,0
frostbite,60000,10,276.0,87ef13f4d20bbc20e39740cec21498a418716f53de99e61414572474163e80b2,0,0
frostbite,70000,10,445.0,70170eb158a05a8a3727a78cd116f7e716a6f3b11b7bf5388262f2682b456f08,0,0
frostbite,80000,10,2660.0,f88e2587da82217ab7b8e937fcd50ca72d820ea2b75e9680ee0086a08567603d,0,0
frostbite,90000,10,1737.0,369a7ba6553dd1823cffefab6a7c320ebce5b0400ff0a0c9e0f4336a3afaf85f,0,0
frostbite,100000,100,2921.4,02a644ae42fba413683ef1539095cf46d32962db116257e720a4d87a731bc433,0,0
gopher,10000,10,274.0,d11d2a67f94c5fb5cc1837821fa33357d079c5069a8f6b6e601dedc88c997ad3,0,0
gopher,20000,10,446.0,66e9c940cc2ee1f0b6b0b73f8b638e33a185d1287c20d4edd6194a7b91f670e4,0,0
gopher,30000,10,278.0,abd4e9ec2cad2373dc2ef989e59c33f85e482305975dc4dca2f52871575f77fa,0,0
gopher,40000,10,342.0,e23a55b23a35a008c3be305f9781316d9f957008af9b82c54481b451dbb2d411,0,0
gopher,50000,10,558.0,3ad4d94903ec8600876371fd16431f06eb913a88be89d8b637138d07d3928b92,0,0
gopher,60000,10,788.0,d52e89df2611fe107ed277396adea0828257266f6b9a683a4cfca5c127e74d65,0,0
gopher,70000,10,698.0,611299372393617769daa06b3cb9508984f38d43bb59c1894300e9e208ba9c70,0,0
gopher,80000,10,864.0,8297e8f6ff851fe133bd603ed0a4b80643c93fbfa172fe39bf42d6b6f2dd8f98,0,0
gopher,90000,10,934.0,a6142393c887d5f6b4a96ca81f330f1d02f1c1870e6189cc776350fdc03ce9cf,0,0
gopher,100000,100,1029.2,e4b3d558ec3a212607d586801aaea0e16f980f9eab241323f33b8e9aea0b7820,0,0
hero,10000,10,1415.5,dc598a6fb6357e8d43d73caca353878ff97cea35992f732f3d8e9dd90bc24ace,0,0
hero,20000,10,2928.0,7a112bad40f6102daba530228f14048e403cdab0e4328e5968523a7e3c2f29ee,0,0
hero,30000,10,2072.5,11a238dd63942367bac2f0aac1c825e7ce730fb707906573990a9fe8336f35e5,0,0
hero,40000,10,2552.5,67a86e491d9d810a7c20d22f89b2f94a773e01575e94ac54aec9a7eae8a0ca30,0,0
hero,50000,10,6141.5,0655c35d5d03f27df6ff0a5203e2dd59ec4ed7d9f97139da3f05660f4d27e0f0,0,0
hero,60000,10,7122.5,884a299afa0944e1269dba5c6ec84b92d12fcc0613c65545222e8a490a83ba95,0,0
hero,70000,10,7498.0,7a127369bb3cf2f36966f922316397b8895c67581e23257cd15b6c885704da63,0,0
hero,80000,10,7484.0,4c12c34661a307e1f3d49e02f756684527d7fccfc1b8e2dc38ae608d6fa7b6bf,0,0
hero,90000,10,7580.0,7860132ab339c139e8d9f62ab6f1c7bf47a2654ce9577a48f56cf1d1dec59de9,0,0
hero,100000,100,7626.6,cbd1ee5aec8c6e4b43b811e735e9931c883e38f473407f060893c467bdc96aec,0,0
jamesbond,10000,10,50.0,17f1e8b2ef7108fa96c5db9fc7bfb15e48e7d4d993c85c52a9ce7b938a3ee15d,0,0
jamesbond,20000,10,45.0,20e515a69cfa2fd88012a094faf3d570dbfc9d0b7aacbe5444f7cf2565e9e7dd,0,0
jamesbond,30000,10,30.0,970df562e017a0da179d3a722d4b6a2cd5118cec95d89ce38ca8f993d17895c3,0,0
jamesbond,40000,10,110.0,41a522a7a0cc80a799264480b66189c8d11f9627b7bda7db72cd77240117efc6,0,0
jamesbond,50000,10,195.0,3d10e58af2b9125ec6aa303754bc940bc8ad0e0ec94dd4fc1214bc707a586df4,0,0
jamesbond,60000,10,140.0,cb1aed68dc20a96fd8c02e34136335380a44b5f2cd6dcc7237d0caa3186b53be,0,0
jamesbond,70000,10,230.0,a79aa80493e022102383f2cf628674e6f826cbf78ab2759a52a8f3e88906f76e,0,0
jamesbond,80000,10,240.0,2cfca695be30824bae33c1a1d8497e9a54bb3dbaf4f04aa1b5bb63969ab1b7bf,0,0
jamesbond,90000,10,280.0,bfb9ae2f2bd5405bee46608491fc891bf07ef038f397fdc9c804bfea9d52bc1b,0,0
jamesbond,100000,100,191.5,c9de5fc0abfbf4693e94ed0af45bd822294056c14cd05cabd47057025b774954,0,0
kangaroo,10000,10,0.0,3e47935f6027b6de48eca922b30f1e2394f634a8b3a1c5cd304c5cf5ef32a014,0,0
kangaroo,20000,10,160.0,4c7d4fe16eab0233746446b1f2579201087bed82c3417a9b919f70e8159095f4,0,0
kangaroo,30000,10,20.0,7536a8bd4ca7a30f640ab4d1cbfc0b4565d9c9b077f4de1586dc9f69cde13898,0,0
kangaroo,40000,10,600.0,a76b7bed77c089517fcb7873dc445de5d5e64e8e15a75c8520b6a4e888204763,0,0
kangaroo,50000,10,600.0,efa3fe9e8ee160bbcc7d4f1524fb85067cf8980d5306ab52fa489f5a01b2ce8c,0,0
kangaroo,60000,10,600.0,ce0f9ec58e9436fc891986f43ffe7f14531e5d550dbf6d780d026fcb172fe455,0,0
kangaroo,70000,10,600.0,92a87bbd2af755d4636b7ad67a5ca97deeb77339881adf521da4b24fe441a88d,0,0
kangaroo,80000,10,600.0,a0bcdd195ba183b75c38effe3b7d836a113a2ea182c7055c093326de6cee77db,0,0
