method,game,seed,agent_steps,return
CoRe-WM old,alien,2,77100,430.0
CoRe-WM old,alien,2,77561,400.0
CoRe-WM old,alien,2,78149,300.0
CoRe-WM old,alien,2,78627,340.0
CoRe-WM old,alien,2,79117,400.0
CoRe-WM old,alien,2,79582,380.0
CoRe-WM old,alien,2,80057,460.0
CoRe-WM old,alien,2,80523,490.0
CoRe-WM old,alien,2,81034,360.0
CoRe-WM old,alien,2,81382,360.0
CoRe-WM old,alien,2,81909,370.0
CoRe-WM old,alien,2,82421,370.0
CoRe-WM old,alien,2,82839,290.0
CoRe-WM old,alien,2,83448,450.0
CoRe-WM old,alien,2,83963,430.0
CoRe-WM old,alien,2,84504,500.0
CoRe-WM old,alien,2,85152,400.0
CoRe-WM old,alien,2,85627,300.0
CoRe-WM old,alien,2,86253,440.0
CoRe-WM old,alien,2,86849,570.0
CoRe-WM old,alien,2,87495,530.0
CoRe-WM old,alien,2,88036,430.0
CoRe-WM old,alien,2,88592,340.0
CoRe-WM old,alien,2,89113,340.0
CoRe-WM old,alien,2,89538,330.0
CoRe-WM old,alien,2,90187,490.0
CoRe-WM old,alien,2,90520,390.0
CoRe-WM old,alien,2,90974,510.0
CoRe-WM old,alien,2,91666,470.0
CoRe-WM old,alien,2,92294,410.0
CoRe-WM old,alien,2,92783,440.0
CoRe-WM old,alien,2,93351,470.0
CoRe-WM old,alien,2,93671,400.0
CoRe-WM old,alien,2,94566,650.0
CoRe-WM old,alien,2,95129,380.0
CoRe-WM old,alien,2,95652,410.0
CoRe-WM old,alien,2,96067,410.0
CoRe-WM old,alien,2,96547,520.0
CoRe-WM old,alien,2,97021,380.0
CoRe-WM old,alien,2,97748,580.0
CoRe-WM old,alien,2,98445,530.0
CoRe-WM old,alien,2,98965,430.0
CoRe-WM old,alien,2,99578,480.0
CoRe-WM old,alien,2,99902,290.0
CoRe-WM old,alien,3,739,260.0
CoRe-WM old,alien,3,1313,270.0
CoRe-WM old,alien,3,2041,170.0
CoRe-WM old,alien,3,2785,290.0
CoRe-WM old,alien,3,3357,110.0
