method,game,seed,bin,return
CoRe-WM old,assault,3,6,465.5
CoRe-WM old,assault,3,7,520.8
CoRe-WM old,assault,3,8,570.5
CoRe-WM old,assault,3,9,550.2
CoRe-WM old,assault,3,10,588.0
CoRe-WM old,assault,3,11,513.0
CoRe-WM old,assault,3,12,638.4
CoRe-WM old,assault,3,13,613.2
CoRe-WM old,assault,3,14,605.5
CoRe-WM old,assault,3,15,459.375
CoRe-WM old,assault,3,16,705.6
CoRe-WM old,assault,3,17,663.6
CoRe-WM old,assault,3,18,616.0
CoRe-WM old,assault,3,19,663.6
CoRe-WM old,assault,4,0,263.6666666666667
CoRe-WM old,assault,4,1,282.0
CoRe-WM old,assault,4,2,330.0
CoRe-WM old,assault,4,3,387.0
CoRe-WM old,assault,4,4,396.0
CoRe-WM old,assault,4,5,448.0
CoRe-WM old,assault,4,6,354.0
CoRe-WM old,assault,4,7,399.0
CoRe-WM old,assault,4,8,453.0
CoRe-WM old,assault,4,9,493.5
CoRe-WM old,assault,4,10,486.5
CoRe-WM old,assault,4,11,546.0
CoRe-WM old,assault,4,12,539.0
CoRe-WM old,assault,4,13,465.0
CoRe-WM old,assault,4,14,485.625
CoRe-WM old,assault,4,15,592.2
CoRe-WM old,assault,4,16,535.5
CoRe-WM old,assault,4,17,579.0
CoRe-WM old,assault,4,18,556.5
CoRe-WM old,assault,4,19,655.2
CoRe-WM old,asterix,0,0,337.5
CoRe-WM old,asterix,0,1,335.7142857142857
CoRe-WM old,asterix,0,2,225.0
CoRe-WM old,asterix,0,3,253.125
CoRe-WM old,asterix,0,4,310.7142857142857
CoRe-WM old,asterix,0,5,242.30769230769232
CoRe-WM old,asterix,0,6,253.84615384615384
CoRe-WM old,asterix,0,7,296.6666666666667
CoRe-WM old,asterix,0,8,346.42857142857144
CoRe-WM old,asterix,0,9,316.6666666666667
CoRe-WM old,asterix,0,10,406.6666666666667
CoRe-WM old,asterix,0,11,630.0
CoRe-WM old,asterix,0,12,421.42857142857144
CoRe-WM old,asterix,0,13,492.85714285714283
CoRe-WM old,asterix,0,14,482.14285714285717
CoRe-WM old,asterix,0,15,486.6666666666667
CoRe-WM old,asterix,0,16,631.8181818181819
CoRe-WM old,asterix,0,17,629.1666666666666
CoRe-WM old,asterix,0,18,550.0
CoRe-WM old,asterix,0,19,600.0
CoRe-WM old,asterix,1,0,245.0
CoRe-WM old,asterix,1,1,253.33333333333334
CoRe-WM old,asterix,1,2,295.0
CoRe-WM old,asterix,1,3,189.47368421052633
CoRe-WM old,asterix,1,4,205.88235294117646
CoRe-WM old,asterix,1,5,263.3333333333333
CoRe-WM old,asterix,1,6,241.1764705882353
CoRe-WM old,asterix,1,7,311.53846153846155
CoRe-WM old,asterix,1,8,345.0
CoRe-WM old,asterix,1,9,317.85714285714283
CoRe-WM old,asterix,1,10,334.375
CoRe-WM old,asterix,1,11,396.6666666666667
CoRe-WM old,asterix,1,12,314.70588235294116
CoRe-WM old,asterix,1,13,343.3333333333333
CoRe-WM old,asterix,1,14,390.625
CoRe-WM old,asterix,1,15,428.57142857142856
CoRe-WM old,asterix,1,16,514.2857142857143
CoRe-WM old,asterix,1,17,480.0
CoRe-WM old,asterix,1,18,483.3333333333333
CoRe-WM old,asterix,1,19,496.42857142857144
CoRe-WM old,asterix,2,0,242.10526315789474
CoRe-WM old,asterix,2,1,260.5263157894737
CoRe-WM old,asterix,2,2,243.75
CoRe-WM old,asterix,2,3,190.625
CoRe-WM old,asterix,2,4,122.5
CoRe-WM old,asterix,2,5,223.33333333333334
CoRe-WM old,asterix,2,6,200.0
CoRe-WM old,asterix,2,7,240.625
CoRe-WM old,asterix,2,8,219.44444444444446
CoRe-WM old,asterix,2,9,289.2857142857143
CoRe-WM old,asterix,2,10,332.14285714285717
CoRe-WM old,asterix,2,11,343.3333333333333
CoRe-WM old,asterix,2,12,428.57142857142856
CoRe-WM old,asterix,2,13,406.6666666666667
CoRe-WM old,asterix,2,14,485.7142857142857
CoRe-WM old,asterix,2,15,461.53846153846155
CoRe-WM old,asterix,2,16,591.6666666666666
CoRe-WM old,asterix,2,17,457.6923076923077
CoRe-WM old,asterix,2,18,620.8333333333334
CoRe-WM old,asterix,2,19,521.4285714285714
CoRe-WM old,asterix,3,0,247.3684210526316
CoRe-WM old,asterix,3,1,306.25
CoRe-WM old,asterix,3,2,256.25
CoRe-WM old,asterix,3,3,207.89473684210526
CoRe-WM old,asterix,3,4,236.66666666666666
CoRe-WM old,asterix,3,5,288.46153846153845
CoRe-WM old,asterix,3,6,202.77777777777777
CoRe-WM old,asterix,3,7,261.7647058823529
CoRe-WM old,asterix,3,8,350.0
CoRe-WM old,asterix,3,9,338.8888888888889
CoRe-WM old,asterix,3,10,416.6666666666667
CoRe-WM old,asterix,3,11,409.375
CoRe-WM old,asterix,3,12,338.8888888888889
CoRe-WM old,asterix,3,13,396.6666666666667
CoRe-WM old,asterix,3,14,415.38461538461536
CoRe-WM old,asterix,3,15,380.0
CoRe-WM old,asterix,3,16,412.5
CoRe-WM old,asterix,3,17,473.0769230769231
CoRe-WM old,asterix,3,18,521.4285714285714
CoRe-WM old,asterix,3,19,496.42857142857144
CoRe-WM old,asterix,4,0,269.44444444444446
CoRe-WM old,asterix,4,1,284.2105263157895
CoRe-WM old,asterix,4,2,261.53846153846155
CoRe-WM old,asterix,4,3,203.57142857142858
CoRe-WM old,asterix,4,4,196.15384615384616
CoRe-WM old,asterix,4,5,200.0
CoRe-WM old,asterix,4,6,217.85714285714286
CoRe-WM old,asterix,4,7,211.76470588235293
CoRe-WM old,asterix,4,8,205.55555555555554
CoRe-WM old,asterix,4,9,373.0769230769231
CoRe-WM old,asterix,4,10,271.42857142857144
CoRe-WM old,asterix,4,11,416.6666666666667
CoRe-WM old,asterix,4,12,342.85714285714283
CoRe-WM old,asterix,4,13,426.9230769230769
CoRe-WM old,asterix,4,14,439.2857142857143
CoRe-WM old,asterix,4,15,471.42857142857144
CoRe-WM old,asterix,4,16,426.6666666666667
CoRe-WM old,asterix,4,17,489.2857142857143
CoRe-WM old,asterix,4,18,482.14285714285717
CoRe-WM old,asterix,4,19,468.75
CoRe-WM old,bank_heist,0,0,18.88888888888889
CoRe-WM old,bank_heist,0,1,8.88888888888889
CoRe-WM old,bank_heist,0,2,13.75
CoRe-WM old,bank_heist,0,3,8.0
CoRe-WM old,bank_heist,0,4,8.571428571428571
CoRe-WM old,bank_heist,0,5,6.0
CoRe-WM old,bank_heist,0,6,13.333333333333334
CoRe-WM old,bank_heist,0,7,10.0
CoRe-WM old,bank_heist,0,8,7.5
CoRe-WM old,bank_heist,0,9,15.555555555555555
CoRe-WM old,bank_heist,0,10,13.333333333333334
CoRe-WM old,bank_heist,0,11,12.0
CoRe-WM old,bank_heist,0,12,12.857142857142858
CoRe-WM old,bank_heist,0,13,17.5
CoRe-WM old,bank_heist,0,14,26.25
CoRe-WM old,bank_heist,0,15,20.0
CoRe-WM old,bank_heist,0,16,15.714285714285714
CoRe-WM old,bank_heist,0,17,20.0
CoRe-WM old,bank_heist,0,18,27.142857142857142
CoRe-WM old,bank_heist,0,19,20.0
CoRe-WM old,bank_heist,1,0,14.0
CoRe-WM old,bank_heist,1,1,12.222222222222221
CoRe-WM old,bank_heist,1,2,15.0
CoRe-WM old,bank_heist,1,3,0.0
