game,checkpoint,episodes,mean,checkpoint_hash,training_seed,evaluation_seed,hns
kangaroo,100000,100,596.0,6a7087801736c4809258253f6ba54bd402bd9853e87ae54fdeb5a4eec1e5dc2a,0,0,0.18236674488769694
krull,100000,100,12106.6,9e426266136ce70660c0b7fa150626e3c95881d831f4283b6c8c5c291ffda245,0,0,9.844121779859485
kung_fu_master,100000,100,29438.0,9169ed76901ca3ff947765df7a7f4d3628643595dffcdfad7335494e718a7d17,0,0,1.2981475055387983
ms_pacman,100000,100,1072.2,08211e94edbddd64b26311b24c37109e18c17daf8799b9f745fc8214c9184b31,0,0,0.11512123173246243
pong,100000,100,-4.91,8f6caf4af17761ebb5c4022b81d84202334df922d0b67ab6f21d8affe79e031c,0,0,0.4473087818696884
private_eye,100000,100,1496.79,86716c22e78968cccbb3aef638d8f487e24c91690c0c86e35ec67b1ef5343026,0,0,0.02116414365085755
qbert,100000,100,630.0,7f832bb985bae869ef4e7a389e137e87578cf6a08ca2f7637793ad6aac72d3dc,0,0,0.035068579726283
road_runner,100000,100,14620.0,447da9b495cff18868dc47bf745950f278db254eaa7e7c727731c894f0377ff8,0,0,1.8648752154209485
seaquest,100000,100,237.2,332ce825d2ea373dbb99d80305134689093ccc91b23db14aa6bfcdaaef748c1b,0,0,0.00402035902187142
up_n_down,100000,100,196432.5,3689389846cac13778e71d888cfe4d4c85ba5a4777a6f5305c5f1d6fe0896a3d,0,0,17.553997383465653
alien,100000,100,551.3,35495dd7cbd668826a098106f363fa5a37d3952ac3036475b09a97290572ad58,1,0,0.04688473745996318
amidar,100000,100,86.42,ae3769c2895403482a6f97a027408f54171fe3a95429b8774b17905d61416f51,1,0,0.04704440683900333
assault,100000,100,531.3,28a3422b252f33c2291b331ca1e06ceb9b0850ed3fbb17075b98e8fd9d086941,1,0,0.5944957659738259
asterix,100000,100,541.5,e8bf3a143d25cd07d1c85ca82723b193419f01fb763cec8441ceb52857c4d7e6,1,0,0.03997202561103542
bank_heist,100000,100,23.4,1572e2ad21deeff36537bf29ff1c39d562947130a9abc7cbeb931917080ed4c6,1,0,0.012450940587359589
battle_zone,100000,100,19700.0,54b50dd99428acdc6cb8b9db1e5b0ad58e3441f6af91061718370bce086c70f4,1,0,0.49788242050104087
boxing,100000,100,59.76,88a5a3e1efa5ec12e79f7efb45edaeb2ac62bf59b8d6824a5938040c8df531e1,1,0,4.971666666666667
breakout,100000,100,7.42,be2de9c7962d8a3f226000db59700472f2718c347b67378177a4d3b77f318ca9,1,0,0.1986111111111111
chopper_command,100000,100,1281.0,bff56bd92659bf527e944fb72efc175a2d7fe5a62eb030a948eab40476e40010,1,0,0.07146332562948546
crazy_climber,100000,100,46320.0,7e88f43d08bb32be064ebb680b94c142e92f6031e3aba569a8ee07045e5846b9,1,0,1.4188048177764292
demon_attack,100000,100,181.2,c63c12feb990e6a7e09e15f16eba0c4b52790751f86900cff3465796e09066bd,1,0,0.015998680521194124
freeway,100000,100,0.0,600e89203764479500d0ef443c25b3135a6e4148629450e13c8d9f5224370e86,1,0,0.0
frostbite,100000,100,241.0,e60112a3f643cad72965f862fe46cbdc576be3db0020158d04c6cc1190ece579,1,0,0.04117578170745989
gopher,100000,100,921.8,a1c4257329147d598ff8f819062e9b8bcd8af4085d54d469b5efbdffce90735c,1,0,0.30822775998886254
hero,100000,100,11220.1,081fc0153853ce39ca00fead345014b1db2d7facf8d8c70de38935d07158edd0,1,0,0.3420572226286435
jamesbond,100000,100,284.5,d1ded46587ca201f681ce302de5526959a8fda5cfb2b7a27857eecd6755d3fc6,1,0,0.9331628926223521
kangaroo,100000,100,5494.0,be88d506b5ba71dc0f6025597c53e8b37fdfbbb30b1c22f120ca28c19d90135c,1,0,1.8243379148508214
krull,100000,100,8384.3,a82b47e2a271e433fdf6d3d2eb7c35639269f7958c45c7e3425b28b9e8a78ae8,1,0,6.357189695550351
kung_fu_master,100000,100,7039.0,493474af681daeaea4eb40bd6af3cde3452728d73529566122646ea8dc48eaf3,1,0,0.301653186699766
ms_pacman,100000,100,1493.2,5c21c6bef1c3bb5b263f18d4c66041c6d520e8fe054150ef4b40b6095583300f,1,0,0.1784838131932634
pong,100000,100,-12.73,2d85b327a7c969860b47803f9e32412c64c62b5700758ea659159d184884fb8b,1,0,0.22577903682719544
private_eye,100000,100,1665.65,064ec6d54aa8db91f6516f388ba79ec370ecaa1a1d3fe359d49d92987f43b629,1,0,0.02359216293007258
qbert,100000,100,784.5,17d4e80f7d15b37a396b6e824e9d1f4c7c34e6e917d881bc47a0bc91a5f149dd,1,0,0.04669289975998977
road_runner,100000,100,11410.0,f979f2279860a990018491cb08d9d5c93c7ee8a064691e0751a6505de9190e3c,1,0,1.4550967000702113
seaquest,100000,100,373.2,dabddf1dd5e16259b9bd1f2b39d6eb88ddb128acb5589c9b402160a8510b45cf,1,0,0.00725951084044081
up_n_down,100000,100,5279.3,191b25faca392ac4ea7083b4d24323b18ef97bb54d5c80412562e2f4730c183c,1,0,0.42526747791179054
alien,100000,100,821.5,5eac334a4b313df43fc05b209d76f442ae716eb35e299c90f041924e689b9829,2,0,0.08604472528587372
amidar,100000,100,138.99,6584d2b010387ed93527af1635b2e04f9d5af1853718c867816f0e673b177c0e,2,0,0.07772072124642586
assault,100000,100,665.15,d42b84acc7ad56379e9b74110ab974a1c4e60b6237f3e74c7564dabff3758e7b,2,0,0.8520977675134719
asterix,100000,100,488.5,27591948209d68346de20c5a553cf48a6f5bb8340377f6e437fd5af4c2d4a3a0,2,0,0.03358132468378089
bank_heist,100000,100,26.2,b0a016cb3cd33f01dd0d5a11c5e6a6f6783b1d65832e24132d367e4ed4502f12,2,0,0.016240357287860333
battle_zone,100000,100,22770.0,725433790d9eb62d7cbc735786565a106cfa49e7ee21cfdc224902f212b2ce75,2,0,0.5860311535424593
boxing,100000,100,56.99,725a4250a72fe7256cf98cb8726559970b9dc4476c57acceaf9b3ac9ce36035a,2,0,4.740833333333334
breakout,100000,100,6.45,ba4f6f958f364880f21c6cc1f4796d1b388022456d646e952f1c6acbab53b6a4,2,0,0.16493055555555555
chopper_command,100000,100,1347.0,1a5fa36a78c8e093b0e73d297ddcffde0ad3d74d1083837f8eba15e2472e893a,2,0,0.0814986011434132
crazy_climber,100000,100,52832.0,eebab30d40c8c1098ed0d52cdc7a64a6db20f0daecf6b5ec7ac73dd41bfda1da,2,0,1.6787763135307339
demon_attack,100000,100,212.85,107d0819ea62586aea982ef88a439079a5cd268d873c4a7d8dfe7b87bafadaeb,2,0,0.033399307273626916
freeway,100000,100,0.0,baa140022a4cb6764ab4190dbbd791ff90e31e3f88f48b93745eddbd8dcf05af,2,0,0.0
frostbite,100000,100,2816.1,e526abc9fb2b31210e6d41b066d330a01151fba8a3636f87390b0bce86a383b7,2,0,0.6443143225202015
gopher,100000,100,733.8,0a4a63068a0d0184c7de16ab766e1b3c7593358090c34083c385fafc4cc054f3,2,0,0.2209847324701842
hero,100000,100,10371.3,cfe64c741434f72fc4cb3b8170fbeeaa3a71ec9d1ba94d2c67dbe19c8a7488a5,2,0,0.31357342765290575
jamesbond,100000,100,203.5,31b5de2a1f36cdc35238cd3aae94af70be957a7c6f2beb44439b69f72a515d66,2,0,0.6373265157048941
kangaroo,100000,100,2080.0,5354737dd04b37d8350df5448ec806c2e1f227b80ab476d773efc786f15c1a94,2,0,0.6798524974857526
krull,100000,100,7899.8,07406f470590a7ba9993027cae0d9ca304258e518aac7a816dbe225424c0eaa7,2,0,5.903325526932084
kung_fu_master,100000,100,9975.0,acabe734cd358015da853a087d835d0962090e450426acad59556876a35a851a,2,0,0.4322709517835375
ms_pacman,100000,100,971.5,f9b2181d15cf980a623aeba9ab05525eaddb2efb9cbd930ae572cc5becd3b4d0,2,0,0.0999653838628599
pong,100000,100,-3.89,2615c24d31e0e312094ad3eae1f07ad338d08fafc0449af0081ab68381970541,2,0,0.4762039660056657
private_eye,100000,100,4036.51,25b66f33e3ff33db1a5bbe19483fa33d648aac51661cb558ca76083f8cf2a5fe,2,0,0.05768249686540208
qbert,100000,100,782.25,ce5fe23ae59c6e526567d0421b90d21b4c21508e1f384f87474b3dd704d89e3b,2,0,0.04652361354590666
road_runner,100000,100,9565.0,90edb463473b529fd0f5f359e0b358325a53a2b944b205db65e87b700dc1c9c0,2,0,1.219569796387311
seaquest,100000,100,464.6,e03a1383d6173aba1f6766fb13cb5ee9e5b85b19b4a49971ef1af6e38558502b,2,0,0.009436411400861712
up_n_down,100000,100,97739.8,7cf2736d8ee567e277a3d75a8dd0380d47cba13f1537b4eff9c9b16a7f64c741,2,0,8.710406996541156
alien,100000,100,911.1,aaf2647326635636b58bac171bab739cb3dfd3fe2a4e484773845a4e0dc2b253,3,0,0.09903042073073523
amidar,100000,100,116.1,df80110a226104da18559156b4322cec42ba548c8fa855978849e55c4c2b72a3,3,0,0.06436365758300752
assault,100000,100,675.36,b7ee8e04e1ce415f59de9989284370073842cc8f4b81efd49ff2309a1e116910,3,0,0.8717474980754427
asterix,100000,100,482.5,33a792f94b2d86b5d3570dddd6c2a8d6140e27e4ef2bd9c54ea51ad04a2921f1,3,0,0.032857849107110565
bank_heist,100000,100,31.2,690146cbb90f52da2c3d4c52ed791a1ce6d58333942191bd9d10577c40fb07b1,3,0,0.023007172824468805
battle_zone,100000,100,17390.0,01d2ea4f5cc6b44c2d0d66c31f101acc15642371b6c5d3f20366575542a1bcf2,3,0,0.4315555236522863
boxing,100000,100,85.32,dcafc1683f35378bee72c01c7a25231e0a4dd0935ad4f3074c8048a8601113e3,3,0,7.101666666666667
breakout,100000,100,7.53,69d64d440741dc1f5bf89c5256b72d21b325126455ad3836e47eb68a6a76e7dc,3,0,0.20243055555555556
chopper_command,100000,100,1261.0,eb12038b5a8b747224d70d6f7d81c09735101f268ff44a36f1373d59b1669178,3,0,0.06842233304950736
crazy_climber,100000,100,54609.0,59bb4c7e29c8d36e5239aa87160c73858f596daefcd070e8aa8b996822f7ba12,3,0,1.7497175524673738
demon_attack,100000,100,285.35,98f12c717e192a4758e0a606f13eacba1b3790300fe8e5f49ed1526edcd85bbe,3,0,0.07325856286766728
freeway,100000,100,0.0,03fafa6fb2c1bac97fc786555bcc3d136ca7578e090b4036804ed825940f0320,3,0,0.0
frostbite,100000,100,279.6,ff864cabe6d16bdb6ac642fd67482fc3e1114b897f3bb7b4669535032c6d5244,3,0,0.05021665300386463
gopher,100000,100,863.6,945ca9232838d3e9d420d7576ab64921b97970532268c34656dc2e68ae9b13d6,3,0,0.28121954615063344
hero,100000,100,7491.1,8574919e90d16dc58d8f4eeb90af93cd7c9c689ff9eab0e4391502512116324f,3,0,0.2169204749088908
jamesbond,100000,100,442.0,2a4939e22909292fa05998efdac9bad7cb7b922e35584c5ecb1aa2fdd9e233c1,3,0,1.508400292184076
kangaroo,100000,100,720.0,d32563d2c496bc1f7ba9896d4633208366a3811fb2783a2a2bb319c9439ae07f,3,0,0.22393563526651022
krull,100000,100,8314.4,23ceac4220fd04b7deb278a6a93ea0b5546182a180674e29b6f81133e587aa03,3,0,6.291709601873536
kung_fu_master,100000,100,27193.0,1bb206af40d52c37d30c5ab57cedd07805585276ed8425db1987181583027711,3,0,1.1982711831229036
ms_pacman,100000,100,916.1,79ae47983fcd62c3042d149126a38fc8c09445d4fdebe3d8ca96a43608429c98,3,0,0.0916274099604172
pong,100000,100,-5.93,17d29931b28a54e1ad5f857a4672810c9a4409fbc7e7554acae33a315dea7eba,3,0,0.41841359773371106
private_eye,100000,100,4040.61,5667e524bfb2a3344c6ab6f443b0e90b7fd168f42c477138d3b92cc47345f761,3,0,0.05774145031230947
qbert,100000,100,1329.75,6459b0d242e4ab148596a0af82db7f413a3a6d726dbe1488cce9d67b51a0dbd3,3,0,0.08771659230612966
road_runner,100000,100,14679.0,f35a6c602117bd21f71cb6225be45ab8247153f98a3a785ca2af5d26a7972774,3,0,1.8724069700644668
seaquest,100000,100,663.6,bf61ce1f3c43dfc9a6ee3b782ec2177d84e8fa38882798c2d9ecbe3dd775850e,3,0,0.014176052664797805
up_n_down,100000,100,12935.3,2cd65b3cf2573c0f91f52aff7fd1c4a5c204fa0a2c76c283b340f963c4db89dd,3,0,1.1113012778006772
alien,100000,100,482.7,827d6fb362ef6270ec553ecdde2bfe67005915ad8c955b6a0d3d37330a66f941,4,0,0.036942564384991085
amidar,100000,100,104.67,0274a8b1863c5dc28530d6fc00e34628d502455a3058cc69decae5cf9bbd5ee7,4,0,0.05769387874190349
assault,100000,100,598.5,6cd64b09317df47e6249b32f9887874f9f3174bb88635bbd3a86b63ce8df87d0,4,0,0.7238260200153964
asterix,100000,100,617.5,8997bce049c04c370d166862a4022ad40ce3375eba86c727099c6b874bfe36aa,4,0,0.04913604958219286
bank_heist,100000,100,21.0,1a8895f1046658137d67cdb26485606d072aaa918eb5b8a09ab727b348d15eea,4,0,0.009202869129787523
battle_zone,100000,100,17470.0,5ee6a6236594640245c1f0f19bb53aaf5c3696b6e3838b1c614984063ca2e0ab,4,0,0.43385255904098774
boxing,100000,100,59.21,d72f17299de0dd396435a7b33fcfa6f4d15548ce6b2f8c5e96ece5b94f27fdee,4,0,4.925833333333333
breakout,100000,100,6.79,066489be9e96bccec1d4e1725250fab5b8841499b49c079d8c04ee18d370874d,4,0,0.1767361111111111
chopper_command,100000,100,1131.0,02bf24ae1955ab8ebbf8795cf8f798acb3198835918fd5423ad5d79b6c2af304,4,0,0.048655881279649676
crazy_climber,100000,100,44925.0,bef8313006f327344c1342762bb4e2f8ee6cc1e396df829bf8576818511f3878,4,0,1.3631137495059662
demon_attack,100000,100,180.3,ecf4905845d0ffcf855c5bd2bc43ac917e30528a39438d2f0b701595473a5543,4,0,0.015503875968992257
freeway,100000,100,0.0,449462eeebc4ec29977f16dfa0f005cb7e61b8bf16e6b7a9beb5798ace5f61d5,4,0,0.0
frostbite,100000,100,2804.3,ea2480c39c39993fed19305465777be791c289d0736990a8532391dbc591c536,4,0,0.6415505328492799
gopher,100000,100,905.6,171f0cfbe43f6e7ba9e11b7dbed90ca0cbae0019745b1e5733fe82cd0b81c665,4,0,0.30071000974523177
hero,100000,100,7541.7,21f095b86de64dd132d99ddf5fe0c4af0fcf02cf761ed5e56733e1bd253650c0,4,0,0.21861849567440952
jamesbond,100000,100,416.5,fbf4559b08997ec6a95b2e34a1f8af349391153c7d6ff5682d94d7f42c8633cc,4,0,1.4152666179693205
kangaroo,100000,100,1228.0,1e408d6a730515fec9e166eef9f4bf7697cb443f4b8fcc9c1f38cbdda1a266f2,4,0,0.3942339926248743
krull,100000,100,9683.9,7683276905249a8ba9cec0e6268b440238efa3ecb256f40a7d38e84cd0126763,4,0,7.574613583138173
kung_fu_master,100000,100,22648.0,bcf6e1c4308f00536f7a9284ee1fc2fa59b989a453e1992a95455fa5188b5d36,4,0,0.9960716796127735
ms_pacman,100000,100,863.9,696a4774acced29fe84de9fd7e0144b345570f46e453bbcbb6888a730843cc16,4,0,0.08377105187905422
pong,100000,100,-10.04,be69e5c8cd18057905571c3e8db546742100aff93a7d24cce2faf28dd76d83da,4,0,0.3019830028328612
private_eye,100000,100,100.0,f1e8cd9e722b50c797a0ef72cc604ba789edd31bd9a94edaa5043165e2d03002,4,0,0.0010798546006694808
qbert,100000,100,1056.0,24b88c59f60a122479af6e52484f191157f50a1f2cd7944438becf05b0782cfb,4,0,0.06712010292601817
road_runner,100000,100,9580.0,02adc4137f82740beaf7a781891d436dba267f9f36a3c691e897d160d9c3eb4c,4,0,1.2214846492627816
seaquest,100000,100,429.2,d91863e55dd8d4e77a45e07f387b119c5fd77664df150c57e3ff4fb7219c4009,4,0,0.008593279236322323
up_n_down,100000,100,11140.1,a478a71237b0331e411dab70e7bb4d7b8efe2eeb96c93f15ee1e7a3f5649ca88,4,0,0.950438179895697
alien,100000,100,482.9,3d73ad689ef01ce08a9ea1a7bba8ac011d704aa440f5b09f8bc121edf91b72a8,5,0,0.03697155031232337
amidar,100000,100,112.15,9e17542a9da3028f7851101c0d58fd270b0b3477febd57f4fb942fbbea3d69e6,5,0,0.06205870339032503
assault,100000,100,577.5,e198b94283e38d1f51972cd3baa284cd0f4569f8f710a85d1a84c0c3b8c5e994,5,0,0.6834103156274057
asterix,100000,100,827.5,aa829953da2171cc67a504fc31fedfb19ad423e2f4052b7703d7c13593905f8c,5,0,0.07445769476565421
bank_heist,100000,100,27.1,06575360f9c73c7f51a55ffeb009cc321eed2e8f136ee608aaa9adf39053fffc,5,0,0.01745838408444986
battle_zone,100000,100,16340.0,8a50085b4d6e98517a29930768336d9cdc7eef46220a9358d1d83d8616233826,5,0,0.40140693417557965
boxing,100000,100,59.82,760625e7cff9bbace0b7d684dd37facebd4a16134476bbc0a56af27c6a42b6c3,5,0,4.976666666666667
breakout,100000,100,7.49,95866058ad53c5afee939b4dcab060172cbae940860dc2815109248e5086f618,5,0,0.20104166666666667
chopper_command,100000,100,1413.0,19141c351607f70704b2f488157c565d37db12fcdf2e62e6317b2d8abfc8da32,5,0,0.09153387665734096
crazy_climber,100000,100,55515.0,879849fbd7aa47246b856220447877dc8d94efecd7160214ca64afb14816ed1a,5,0,1.7858868054086205
demon_attack,100000,100,258.05,6d01dd8198b5309b2024abc75b12b3739feb85cadc4bd39645b2e506016f7b8d,5,0,0.05824949145087691
freeway,100000,100,0.0,cd96fd41d88779e736b4fe68a41bac09cdba78ae82acaf1501924f84aeace29e,5,0,0.0
frostbite,100000,100,1219.5,fab1a25b97f8840cdd5eaabbdc6bd68f33f150fe61e3bb5c0ca8820576f699ae,5,0,0.27035952687668346
gopher,100000,100,1283.6,3b988c870a3f3c16ad2d998246699a9700e5b5d6d0b8e3dcd2f6fc0ea50a8aae,5,0,0.476124182096617
hero,100000,100,7250.35,f057c182ea6ca38b8e47384ff9fcadbc93d8a07aaa9983785bea07e7cba30a4f,5,0,0.20884145318362116
jamesbond,100000,100,347.0,3958b356dcf798d955472d34720ec73327e695adb4736b88a7c1260c420c5dc4,5,0,1.1614317019722424
kangaroo,100000,100,4096.0,45e59ffb6f9b670d213e12ab56a4cd26b1417c1fd3d4372e378c3c50fdd4aa7d,5,0,1.3556821991283943
krull,100000,100,7615.3,890236f5b43518a13ea9387d84afb41b7e9c10f69861d1563cca5d5305b0f85d,5,0,5.636814988290398
kung_fu_master,100000,100,23099.0,5a5075e0cbaf3120aa5fc69644dc7d7aeebec968bcadfe040925c331ba1573c5,5,0,1.0161359207751648
ms_pacman,100000,100,1280.3,e13ec769be02e34c2541df23efd60aa3c9f77b7a6e7103157915e9cb838861f5,5,0,0.14644131059705312
pong,100000,100,-11.04,bf01784cce2fc81f0dfa182cfbc3d69b4fa935cec813d4c2db48f5d9eb2ed5e6,5,0,0.2736543909348442
private_eye,100000,100,3943.0,3501e8a1c2bfd754b3cea14e4949de14a632e1f0d7034a28a5dfb2e2d12d1aca,5,0,0.05633792690922894
qbert,100000,100,786.5,fecb58b5496a5b777ccfaf0ce62f6b6590c469c9875e419370c0824b38bac8ae,5,0,0.04684337639473031
road_runner,100000,100,12907.0,ae3f5524edebe28ba85b50ede4e1cc8c7cb5293be3c23a83a27c780260294ae4,5,0,1.6461990170421905
seaquest,100000,100,634.6,d84059008df9791e330dc740f3ee78a292e61295c37ece0fa13c6ae2ece360f7,5,0,0.01348535117407345
up_n_down,100000,100,81705.2,eeec7535639c60b57c6108cbf0c033324d9b950d6c114a59aab65fe3e59332f7,5,0,7.273589132421727
