method,game,seed,agent_steps,return
Constraint suite (seed 0; training episodes),alien,0,99935,680.0
Constraint suite (seed 0; training episodes),alien,0,100614,550.0
Constraint suite (seed 0; training episodes),alien,0,101105,410.0
Constraint suite (seed 0; training episodes),alien,0,101807,1000.0
Constraint suite (seed 0; training episodes),alien,0,102562,510.0
Constraint suite (seed 0; training episodes),alien,0,103173,450.0
Constraint suite (seed 0; training episodes),alien,0,103922,540.0
Constraint suite (seed 0; training episodes),alien,0,104590,540.0
Constraint suite (seed 0; training episodes),alien,0,105387,550.0
Constraint suite (seed 0; training episodes),alien,0,106123,520.0
Constraint suite (seed 0; training episodes),alien,0,107035,500.0
Constraint suite (seed 0; training episodes),alien,0,107883,1070.0
Constraint suite (seed 0; training episodes),alien,0,108665,470.0
Constraint suite (seed 0; training episodes),alien,0,109490,560.0
Constraint suite (seed 0; training episodes),amidar,0,582,5.0
Constraint suite (seed 0; training episodes),amidar,0,1152,0.0
Constraint suite (seed 0; training episodes),amidar,0,1715,0.0
Constraint suite (seed 0; training episodes),amidar,0,2293,1.0
Constraint suite (seed 0; training episodes),amidar,0,2880,1.0
Constraint suite (seed 0; training episodes),amidar,0,3464,3.0
Constraint suite (seed 0; training episodes),amidar,0,4012,0.0
Constraint suite (seed 0; training episodes),amidar,0,4592,1.0
Constraint suite (seed 0; training episodes),amidar,0,5154,1.0
Constraint suite (seed 0; training episodes),amidar,0,5743,5.0
Constraint suite (seed 0; training episodes),amidar,0,6288,1.0
Constraint suite (seed 0; training episodes),amidar,0,6872,0.0
Constraint suite (seed 0; training episodes),amidar,0,7474,2.0
Constraint suite (seed 0; training episodes),amidar,0,8089,2.0
Constraint suite (seed 0; training episodes),amidar,0,8679,2.0
Constraint suite (seed 0; training episodes),amidar,0,9230,2.0
Constraint suite (seed 0; training episodes),amidar,0,9811,2.0
Constraint suite (seed 0; training episodes),amidar,0,10403,9.0
Constraint suite (seed 0; training episodes),amidar,0,11001,2.0
Constraint suite (seed 0; training episodes),amidar,0,11530,8.0
Constraint suite (seed 0; training episodes),amidar,0,12063,8.0
Constraint suite (seed 0; training episodes),amidar,0,12614,22.0
Constraint suite (seed 0; training episodes),amidar,0,13260,14.0
Constraint suite (seed 0; training episodes),amidar,0,13946,2.0
Constraint suite (seed 0; training episodes),amidar,0,14512,8.0
Constraint suite (seed 0; training episodes),amidar,0,15406,72.0
Constraint suite (seed 0; training episodes),amidar,0,16268,33.0
Constraint suite (seed 0; training episodes),amidar,0,16873,50.0
Constraint suite (seed 0; training episodes),amidar,0,17808,66.0
Constraint suite (seed 0; training episodes),amidar,0,18602,70.0
Constraint suite (seed 0; training episodes),amidar,0,19346,78.0
Constraint suite (seed 0; training episodes),amidar,0,19933,45.0
Constraint suite (seed 0; training episodes),amidar,0,20710,62.0
Constraint suite (seed 0; training episodes),amidar,0,21253,48.0
Constraint suite (seed 0; training episodes),amidar,0,21841,45.0
Constraint suite (seed 0; training episodes),amidar,0,22441,31.0
Constraint suite (seed 0; training episodes),amidar,0,23184,64.0
Constraint suite (seed 0; training episodes),amidar,0,23759,46.0
Constraint suite (seed 0; training episodes),amidar,0,24333,46.0
Constraint suite (seed 0; training episodes),amidar,0,24917,45.0
Constraint suite (seed 0; training episodes),amidar,0,25530,59.0
Constraint suite (seed 0; training episodes),amidar,0,26072,48.0
Constraint suite (seed 0; training episodes),amidar,0,26768,65.0
Constraint suite (seed 0; training episodes),amidar,0,27301,48.0
Constraint suite (seed 0; training episodes),amidar,0,28002,33.0
Constraint suite (seed 0; training episodes),amidar,0,28533,48.0
Constraint suite (seed 0; training episodes),amidar,0,29237,115.0
Constraint suite (seed 0; training episodes),amidar,0,29777,48.0
Constraint suite (seed 0; training episodes),amidar,0,30370,59.0
Constraint suite (seed 0; training episodes),amidar,0,31041,70.0
Constraint suite (seed 0; training episodes),amidar,0,31584,45.0
Constraint suite (seed 0; training episodes),amidar,0,32220,52.0
Constraint suite (seed 0; training episodes),amidar,0,32776,44.0
Constraint suite (seed 0; training episodes),amidar,0,33289,42.0
Constraint suite (seed 0; training episodes),amidar,0,34100,48.0
Constraint suite (seed 0; training episodes),amidar,0,34678,55.0
Constraint suite (seed 0; training episodes),amidar,0,35260,55.0
Constraint suite (seed 0; training episodes),amidar,0,35890,60.0
Constraint suite (seed 0; training episodes),amidar,0,36408,43.0
Constraint suite (seed 0; training episodes),amidar,0,36992,56.0
Constraint suite (seed 0; training episodes),amidar,0,37653,52.0
Constraint suite (seed 0; training episodes),amidar,0,38386,62.0
Constraint suite (seed 0; training episodes),amidar,0,38947,44.0
Constraint suite (seed 0; training episodes),amidar,0,39472,44.0
Constraint suite (seed 0; training episodes),amidar,0,40085,61.0
Constraint suite (seed 0; training episodes),amidar,0,40619,52.0
Constraint suite (seed 0; training episodes),amidar,0,41157,45.0
Constraint suite (seed 0; training episodes),amidar,0,41762,46.0
Constraint suite (seed 0; training episodes),amidar,0,42352,46.0
Constraint suite (seed 0; training episodes),amidar,0,42913,46.0
Constraint suite (seed 0; training episodes),amidar,0,43447,48.0
Constraint suite (seed 0; training episodes),amidar,0,43963,56.0
Constraint suite (seed 0; training episodes),amidar,0,44588,51.0
Constraint suite (seed 0; training episodes),amidar,0,45155,57.0
Constraint suite (seed 0; training episodes),amidar,0,45778,64.0
Constraint suite (seed 0; training episodes),amidar,0,46358,58.0
Constraint suite (seed 0; training episodes),amidar,0,46940,45.0
