seed,actions,score,length_actions,optimizer_updates
1,26831,1200.0,754.0,6448
1,27647,1550.0,816.0,6653
1,29086,3930.0,1439.0,7013
1,29921,350.0,835.0,7222
1,31571,3160.0,1650.0,7634
1,32761,2070.0,1190.0,7932
1,33375,2310.0,614.0,8086
1,33974,800.0,599.0,8236
1,35409,2620.0,1435.0,8595
1,36068,240.0,659.0,8760
1,36694,720.0,626.0,8917
1,37410,2270.0,716.0,9096
1,37947,1460.0,537.0,9230
1,38587,2630.0,640.0,9391
1,39229,2630.0,642.0,9551
1,39897,2640.0,668.0,9719
1,40769,1570.0,872.0,9937
1,41574,3030.0,805.0,10138
1,42231,2240.0,657.0,10303
1,42752,1250.0,521.0,10433
1,43479,2680.0,727.0,10615
1,44328,960.0,849.0,10828
1,45521,2680.0,1193.0,11126
1,46242,1580.0,721.0,11307
1,47117,1180.0,875.0,11526
1,47693,2490.0,576.0,11670
1,48417,280.0,724.0,11851
1,49259,2050.0,842.0,12062
1,49948,1860.0,689.0,12235
1,50653,3070.0,705.0,12411
1,51333,1450.0,680.0,12581
1,51919,2090.0,586.0,12728
1,52538,3130.0,619.0,12883
1,53267,2490.0,729.0,13066
1,53896,1920.0,629.0,13223
1,54546,3030.0,650.0,13386
1,55075,1660.0,529.0,13518
1,55825,1700.0,750.0,13706
1,56328,1340.0,503.0,13832
1,57484,5050.0,1156.0,14121
1,58553,4790.0,1069.0,14389
1,59152,2000.0,599.0,14539
1,59578,1290.0,426.0,14646
1,60135,1870.0,557.0,14785
1,60647,2550.0,512.0,14913
1,61301,3340.0,654.0,15077
1,61951,2930.0,650.0,15240
1,62420,1320.0,469.0,15357
1,63438,4260.0,1018.0,15612
1,64080,2330.0,642.0,15773
1,64745,2340.0,665.0,15939
1,65474,2980.0,729.0,16122
1,66303,4360.0,829.0,16329
1,66933,1820.0,630.0,16487
1,67484,2670.0,551.0,16625
1,68103,2320.0,619.0,16780
1,68833,3880.0,730.0,16963
1,70363,6480.0,1530.0,17346
1,71212,3260.0,849.0,17558
1,72190,6140.0,978.0,17803
1,72793,2920.0,603.0,17954
1,73462,3340.0,669.0,18121
1,74284,3840.0,822.0,18327
1,74889,3110.0,605.0,18479
1,75572,3760.0,683.0,18650
1,76257,3560.0,685.0,18821
1,76835,2190.0,578.0,18966
1,77562,3680.0,727.0,19148
1,78253,4360.0,691.0,19321
1,78906,4340.0,653.0,19484
1,79757,4460.0,851.0,19697
1,80470,3070.0,713.0,19876
1,81153,4550.0,683.0,20047
1,81772,3720.0,619.0,20202
1,83080,4340.0,1308.0,20529
1,84622,4490.0,1542.0,20915
1,86139,7070.0,1517.0,21294
1,87426,6030.0,1287.0,21616
1,88354,6310.0,928.0,21849
1,89162,6830.0,808.0,22051
1,89941,3620.0,779.0,22246
1,90605,5040.0,664.0,22412
1,91482,4470.0,877.0,22632
1,91986,1740.0,504.0,22758
1,92761,4810.0,775.0,22952
1,93441,3650.0,680.0,23122
1,94277,5450.0,836.0,23331
1,95462,5470.0,1185.0,23628
1,96178,5280.0,716.0,23807
1,97089,6900.0,911.0,24035
1,97876,6820.0,787.0,24232
1,98912,7180.0,1036.0,24491
1,99577,3440.0,665.0,24658
