seed,checkpoint,score,actions
0,90000,257420.0,27000.0
0,90000,255740.0,27000.0
0,100000,254190.0,27000.0
0,100000,218540.0,27000.0
0,100000,125800.0,13648.0
0,100000,247740.0,27000.0
0,100000,256540.0,27000.0
0,100000,179820.0,19442.0
0,100000,76390.0,8768.0
0,100000,193550.0,20294.0
0,100000,194030.0,21058.0
0,100000,253740.0,27000.0
0,100000,186080.0,20496.0
0,100000,253300.0,27000.0
0,100000,86990.0,9738.0
0,100000,249340.0,27000.0
0,100000,242620.0,27000.0
0,100000,259380.0,27000.0
0,100000,148760.0,15817.0
0,100000,163400.0,17488.0
0,100000,152870.0,16635.0
0,100000,64670.0,7304.0
0,100000,128960.0,14226.0
0,100000,226660.0,24621.0
0,100000,243470.0,25928.0
0,100000,164900.0,17964.0
0,100000,225210.0,24219.0
0,100000,209610.0,22304.0
0,100000,195010.0,20702.0
0,100000,261460.0,27000.0
0,100000,253540.0,27000.0
0,100000,252180.0,27000.0
0,100000,237910.0,24703.0
0,100000,48130.0,5733.0
0,100000,187590.0,20360.0
0,100000,17760.0,2518.0
0,100000,223710.0,23747.0
0,100000,256660.0,27000.0
0,100000,177100.0,19576.0
0,100000,257750.0,27000.0
0,100000,247800.0,25815.0
0,100000,87680.0,9553.0
0,100000,240210.0,25182.0
0,100000,255500.0,27000.0
0,100000,204180.0,21932.0
0,100000,259670.0,26949.0
0,100000,266300.0,27000.0
0,100000,250140.0,27000.0
0,100000,155670.0,16636.0
0,100000,88660.0,9844.0
0,100000,249370.0,27000.0
0,100000,106640.0,11797.0
0,100000,242700.0,25951.0
0,100000,223370.0,23843.0
0,100000,142290.0,15708.0
0,100000,253340.0,27000.0
0,100000,95050.0,10470.0
0,100000,208250.0,22030.0
0,100000,251380.0,27000.0
0,100000,236710.0,26628.0
0,100000,191120.0,20882.0
0,100000,158060.0,17904.0
0,100000,186740.0,24763.0
0,100000,200030.0,21055.0
0,100000,244940.0,27000.0
0,100000,211550.0,22851.0
0,100000,221080.0,22735.0
0,100000,250150.0,27000.0
0,100000,97470.0,10501.0
0,100000,240850.0,24936.0
0,100000,154960.0,17434.0
0,100000,253380.0,27000.0
0,100000,85750.0,9654.0
0,100000,167170.0,17745.0
0,100000,198050.0,20456.0
0,100000,199820.0,22640.0
0,100000,224030.0,23617.0
0,100000,210910.0,21828.0
0,100000,45350.0,5759.0
0,100000,160360.0,18390.0
0,100000,217220.0,23607.0
0,100000,203070.0,21441.0
0,100000,186440.0,19783.0
0,100000,159530.0,16418.0
0,100000,260540.0,27000.0
0,100000,245510.0,25986.0
0,100000,139170.0,14538.0
0,100000,63440.0,7250.0
0,100000,238840.0,26197.0
0,100000,192200.0,20678.0
0,100000,233500.0,25977.0
0,100000,199690.0,21163.0
0,100000,253380.0,27000.0
0,100000,258140.0,27000.0
0,100000,121350.0,12927.0
0,100000,241470.0,26549.0
0,100000,265900.0,27000.0
0,100000,242940.0,27000.0
0,100000,252620.0,27000.0
0,100000,178010.0,19737.0
0,100000,249210.0,26127.0
